	Gold 	 Count 	 Distribution 	 Recalled 	 Recall %
G:JJD P:VBS alam 725 2 		Context - Habang|RBW hindi|RBF *alam|VBS* ang|DTC bilang|NNC 
G:JJD P:VBTF magagaspang 507 8 		Context - papel_de_liha|NNC ang|DTC *magagaspang|VBTF* na|CCP kaliskis|NNC 
G:JJD P:VBTF matatapang 1783 35 		Context - sa|CCT mga|DTCP *matatapang|VBTF* na|CCP asido|NNC 
G:JJD P:VBTF susunod 2381 17 		Context - sa|CCT mga|DTCP *susunod|VBTF* na|CCP oras|NNC 
G:JJD P:VBTF susunod 284 7 		Context - magnakaw|VBW sa|CCT *susunod|VBTF* na|CCP base|FW 
G:JJD P:VBTF susunod 974 24 		Context - distansya|NNC sa|CCT *susunod|VBTF* na|CCP tala|NNC 
G:JJD P:VBTF susunod 999 2 		Context - Sa_loob|RBL ng|CCB *susunod|VBTF* na|CCP ilang|PRQ_CCP 
G:JJD P:VBTF_VBAF magnetik 470 4 		Context - ito|PRO ng|CCB *magnetik|VBTF_VBAF* teyp|NNC makalipas|VBW 
G:JJD P:VBTR Bukod-tangi 2378 0 		Context - *Bukod-tangi|VBTR* ang|DTC opisyal|JJD 
G:JJD P:VBTR kinikilala 2466 4 		Context - ,|PMC na|CCP *kinikilala|VBTR* sa|CCT tawag|NNC 
G:JJD P:VBTR magkakahiwalay 570 12 		Context - at|CCA ang|DTC *magkakahiwalay|VBTR* na|CCP buntot|NNC 
G:JJD P:VBTR nagtatanggol 1157 1 		Context - Ang|DTC *nagtatanggol|VBTR* na|CCP kopoonan|NNC 
G:JJD P:VBTR nakakakita 934 9 		Context - di|RBF pa|RBI *nakakakita|VBTR* nito|PRO .|PMP 
G:JJD P:VBTR nakamamatay 391 44 		Context - sa|CCT maraming|PRI_CCP *nakamamatay|VBTR* na|CCP kanser|NNC 
G:JJD P:VBTR nalalapit 1789 27 		Context - approksimasyon|NNC ng_mga|DTCP *nalalapit|VBTR* na|CCP real|FW 
G:JJD P:VBTR napapasok 2511 8 		Context - na|CCP hindi|RBF *napapasok|VBTR* ang|DTC armor|FW 
G:JJD P:VBTR nararapat 2557 35 		Context - ang|DTC mas|JJCC *nararapat|VBTR* .|PMP 
G:JJD P:VBTR nararapat 270 22 		Context - kasama|CCB ang_mga|DTCP *nararapat|VBTR* na|CCP numerikal|JJD 
G:JJD P:VBTR tabi-tabi 523 17 		Context - unibersidad|NNC na|CCP *tabi-tabi|VBTR* sa_lugar|RBL na|CCP 
G:JJD P:VBTS kinilala 752 14 		Context - ,|PMC na|CCP *kinilala|VBTS* bilang|CCT Kasunduan|NNP 
G:JJD P:VBTS naka-tulong 2785 44 		Context - ito|PRO ay|LM *naka-tulong|VBTS* sa|CCT paggawa|NNC 
G:JJD P:VBTS nakaayos 762 15 		Context - kaya|CCR hindi|RBF *nakaayos|VBTS* ayon_sa|RBR alpabeto|NNC 
G:JJD P:VBTS nakabalot 2837 33 		Context - ng|CCB taong|NNC_CCP *nakabalot|VBTS* ng|CCB armas|NNC 
G:JJD P:VBTS nakakabit 2712 5 		Context - ay|LM karaniwang|RBD_CCP *nakakabit|VBTS* sa_likod|RBL ng|CCB 
G:JJD P:VBTS nakaliligaw 1227 21 		Context - materyalismo|NNC at|CCA *nakaliligaw|VBTS* na|CCP kaalaman|NNC 
G:JJD P:VBTS nakapalibot 2568 25 		Context - sa|CCT mga|DTCP *nakapalibot|VBTS* na|CCP estado|NNC 
G:JJD P:VBTS nakasakay 39 41 		Context - lahat|PRI ng_mga|DTCP *nakasakay|VBTS* .|PMP 
G:JJD P:VBTS nakataas 2326 31 		Context - proyekto|NNC ng|CCB *nakataas|VBTS* na|CCP tren|NNC 
G:JJD P:VBTS nakatakip 2697 13 		Context - panzers|FW na|CCP *nakatakip|VBTS* ng|CCB anti-magnetic-mine|FW 
G:JJD P:VBTS nakatalaga 825 2 		Context - Ayon_sa|RBR kaugaliang|NNC_CCP *nakatalaga|VBTS* lamang|RBI sa|CCT 
G:JJD P:VBTS nakihalobilo 1158 4 		Context - kultura|NNC ay|LM *nakihalobilo|VBTS* sa|CCT isang|PRI_CCP 
G:JJD P:VBTS nakilala 1412 1 		Context - Mas|JJCC *nakilala|VBTS* si|DTP Court|NNP 
G:JJD P:VBTS nanakop 2963 6 		Context - palilibutan|NNC ng|CCB *nanakop|VBTS* na|CCP hukbo|NNC 
G:JJD P:VBTS sinauna 306 21 		Context - sariwa|RBD at|CCA *sinauna|VBTS* "|PMS ,|PMC 
G:JJD P:VBW Mabato 46 0 		Context - *Mabato|VBW* ,|PMC manipis|JJD 
G:JJD P:VBW mabulag 492 17 		Context - rin|RBI tayong|PRP_CCP *mabulag|VBW* .|PMP 
G:JJD P:VBW madahon 815 15 		Context - ,|PMC ngunit|CCT *madahon|VBW* ang|DTC karamihan|PRI 
G:JJD P:VBW madaya 862 34 		Context - na|CCP naging|VBTS *madaya|VBW* ang|DTC eleksyon|NNC 
G:JJD P:VBW madulas 2374 26 		Context - sa|CCT isang|PRI_CCP *madulas|VBW* sa|CCT ulan|NNC 
G:JJD P:VBW magkahiwalay 1372 2 		Context - Nadiskubre|VBTS ng|CCB *magkahiwalay|VBW* na|CCP tagapagmasid|NNC 
G:JJD P:VBW magkasunod 1917 35 		Context - boto|NNC ,|PMC *magkasunod|VBW* )|PMS 
G:JJD P:VBW maka-agham 1030 26 		Context - na|CCP "|PMS *maka-agham|VBW* "|PMS na|CCP 
G:JJD P:VBW malipat 475 29 		Context - pagkatapos|VBW ito|PRO *malipat|VBW* ang|DTC isang|PRI_CCP 
G:JJD P:VBW mapagpigil 200 19 		Context - sa|CCT mga|DTCP *mapagpigil|VBW* ,|PMC boreal|FW 
G:JJD P:VBW matagalan 3012 15 		Context - pagkatapos|VBW ng|CCB *matagalan|VBW* na|CCP paggamot|VBW 
G:JJD P:VBW matiis 2600 35 		Context - sumang-ayon|VBAF na|CCP *matiis|VBW* ng|CCB Scouth|NNP 
G:JJD P:VBW pantakip 2361 12 		Context - armas|NNC para|CCT *pantakip|VBW* ,|PMC uuliting|VBOF_CCP 
G:JJD_CCA P:JJD kahanga-hanga't 88 15 		Context - ng|CCB isang|PRI_CCP *kahanga-hanga't|JJD* "|PMS kagalang-galang|JJD 
G:JJD_CCA P:JJN_CCA puro't 2179 21 		Context - magagawa|VBTF ng_mga|DTCP *puro't|JJN_CCA* libreng|JJD_CCP anyo|NNC 
G:JJD_CCB P:JJD_CCP iba't_ibang 1518 10 		Context - makaaapekto|VBW sa|CCT *iba't_ibang|JJD_CCP* lebel|NNC ng|CCB 
G:JJD_CCP P:CCB kabilang 2111 34 		Context - ring|RBI_CCP tungo_sa|RBR *kabilang|CCB* direksyon|NNC ang|DTC 
G:JJD_CCP P:CCB kabilang 2374 12 		Context - Deckard|NNP papunta_sa|RBL *kabilang|CCB* gusali|NNC ,|PMC 
G:JJD_CCP P:CCB kabilang 918 7 		Context - Dam|NNP sa|CCT *kabilang|CCB* panig|NNC ng|CCB 
G:JJD_CCP P:FW bukiring 2666 13 		Context - nakakaakit|VBTR na|CCP *bukiring|FW* eksena|NNC ng|CCB 
G:JJD_CCP P:JJCS_CCP sobrang 508 7 		Context - gumagamit|VBTR_VBAF ng|CCB *sobrang|JJCS_CCP* gumagamit|VBTR_VBAF ng|CCB 
G:JJD_CCP P:JJC_CCP parehong 791 2 		Context - Inaalagaan|VBTR ng|CCB *parehong|JJC_CCP* magulang|NNC ang_mga|DTCP 
G:JJD_CCP P:JJD hilagang_silangan 545 29 		Context - lumalawak|VBTR_VBAF patungong|RBL_CCP *hilagang_silangan|JJD* .|PMP 
G:JJD_CCP P:JJD iba't_iba 1665 24 		Context - Gothenburg|NNP at|CCA *iba't_iba|JJD* pang|RBI_CCP daungan|NNC 
G:JJD_CCP P:JJD mahinahong 31 8 		Context - may|VBH mas|JJCC *mahinahong|JJD* ,|PMC temperatura|NNC 
G:JJD_CCP P:JJD makabuluhan 2870 4 		Context - Link|NNP ang|DTC *makabuluhan|JJD* bahagi|NNC ng|CCB 
G:JJD_CCP P:JJD nasyonal 2389 15 		Context - sa_pamamagitan_ng|CCT isang|PRI_CCP *nasyonal|JJD* kombensyon|NNC na|CCP 
G:JJD_CCP P:JJD pangunahin 1907 4 		Context - anekdota|NNC tungkol_sa|RBR *pangunahin|JJD* palabas|NNC ng|CCB 
G:JJD_CCP P:JJN_CCP pangkawang-gawang 244 6 		Context - ang|DTC maraming|PRI_CCP *pangkawang-gawang|JJN_CCP* mga|DTCP organisasyon|NNC 
G:JJD_CCP P:NNC higit-kumulang 607 1 		Context - May|VBH *higit-kumulang|NNC* ng|CCB 62|CDB 
G:JJD_CCP P:NNC tatluhang-buwan 1531 4 		Context - kumpaniya|NNC sa|CCT *tatluhang-buwan|NNC* mula_sa|RBL taunan|NNC 
G:JJD_CCP P:NNC_CCP alagang 1522 5 		Context - ng|CCB isang|PRI_CCP *alagang|NNC_CCP* Poodle|NNP na|CCP 
G:JJD_CCP P:NNC_CCP alagang 1571 8 		Context - palaka|NNC na|CCP *alagang|NNC_CCP* hayop|NNC sa|CCT 
G:JJD_CCP P:NNC_CCP alilang 258 21 		Context - pinangungunahan|VBTR ng_mga|DTCP *alilang|NNC_CCP* mamamayan|NNC ,|PMC 
G:JJD_CCP P:NNC_CCP babaeng 86 32 		Context - ferm|FW (|PMS *babaeng|NNC_CCP* hermaphrodite|FW )|PMS 
G:JJD_CCP P:NNC_CCP bayaning 2707 15 		Context - papel|NNC sa|CCT *bayaning|NNC_CCP* kathambuhay|NNC na|CCP 
G:JJD_CCP P:NNC_CCP bulung-bulungang 783 10 		Context - Christopher|NNP ang_mga|DTCP *bulung-bulungang|NNC_CCP* ito|PRO .|PMP 
G:JJD_CCP P:NNC_CCP butong 888 5 		Context - pamilyar|JJD na|CCP *butong|NNC_CCP* halaman|NNC ,|PMC 
G:JJD_CCP P:NNC_CCP dalang 1912 14 		Context - na|CCP may|VBH *dalang|NNC_CCP* coaxial|FW 20|CDB 
G:JJD_CCP P:NNC_CCP dalang 409 17 		Context - na|CCP may|VBH *dalang|NNC_CCP* kargada|NNC .|PMP 
G:JJD_CCP P:NNC_CCP depektong 2187 25 		Context - dalawang|JJN_CCP permanenteng|JJD_CCP *depektong|NNC_CCP* cerebral|FW "|PMS 
G:JJD_CCP P:NNC_CCP distansyang 163 32 		Context - unibersidad|NNC para_sa|RBB *distansyang|NNC_CCP* edukasyon|NNC (|PMS 
G:JJD_CCP P:NNC_CCP ekonomikong 134 27 		Context - nila|PRP ng|CCB *ekonomikong|NNC_CCP* kapangyarihan|NNC at|CCA 
G:JJD_CCP P:NNC_CCP elementaryang 2873 15 		Context - reaksyon|NNC ng|CCB *elementaryang|NNC_CCP* hydrogen|FW at|CCA 
G:JJD_CCP P:NNC_CCP epikong 2999 14 		Context - ng|CCB isang|PRI_CCP *epikong|NNC_CCP* teatro|NNC dahil_sa|RBP 
G:JJD_CCP P:NNC_CCP esponghang 800 20 		Context - sa_ibabaw|RBL ng|CCB *esponghang|NNC_CCP* tisyu|NNC na|CCP 
G:JJD_CCP P:NNC_CCP estadong 214 21 		Context - pag-aari|NNC ng|CCB *estadong|NNC_CCP* bangkong|NNC_CCP Tsino|NNP 
G:JJD_CCP P:NNC_CCP estereoskopikong 1586 19 		Context - pares|NNC ng|CCB *estereoskopikong|NNC_CCP* lens|NNC para_sa|RBB 
G:JJD_CCP P:NNC_CCP estereoskopikong 1620 7 		Context - Jones|NNP ng_mga|DTCP *estereoskopikong|NNC_CCP* potograpiya|NNC at|CCA 
G:JJD_CCP P:NNC_CCP generikong 2267 18 		Context - bilang|CCT isang|PRI_CCP *generikong|NNC_CCP* termino|NNC para_sa|RBB 
G:JJD_CCP P:NNC_CCP generikong 271 2 		Context - Nakuha|VBTS ang|DTC *generikong|NNC_CCP* pangalan|NNC nito|PRO 
G:JJD_CCP P:NNC_CCP geograpikong 1288 14 		Context - at|CCA mga|DTCP *geograpikong|NNC_CCP* mga|DTCP katangian|NNC 
G:JJD_CCP P:NNC_CCP gitang 2225 8 		Context - Bond|NNP noong|RBW_CCP *gitang|NNC_CCP* 1960s|CDB ,|PMC 
G:JJD_CCP P:NNC_CCP guwapong 88 22 		Context - hitsura|NNC ng|CCB *guwapong|NNC_CCP* pagkalalaki|NNC .|PMP 
G:JJD_CCP P:NNC_CCP halamang 2153 19 		Context - at|CCA maraming|PRI_CCP *halamang|NNC_CCP* bagay|NNC .|PMP 
G:JJD_CCP P:NNC_CCP haspeng 2414 8 		Context - na|CCP mantikilyang|NNC_CCP *haspeng|NNC_CCP* lumulutang|VBTR_VBAF sa|CCT 
G:JJD_CCP P:NNC_CCP hating 1955 27 		Context - dahil_sa|RBP isang|PRI_CCP *hating|NNC_CCP* pagsalungat|NNC na|CCP 
G:JJD_CCP P:NNC_CCP henesyang 242 1 		Context - Ang|DTC *henesyang|NNC_CCP* sakit|NNC ,|PMC 
G:JJD_CCP P:NNC_CCP henetikong 769 28 		Context - bilang|CCT kanilang|PRSP_CCP *henetikong|NNC_CCP* materyal|NNC .|PMP 
G:JJD_CCP P:NNC_CCP kakompetensiyang 679 3 		Context - nagbenta|VBTS ang|DTC *kakompetensiyang|NNC_CCP* disk-shaped|FW gramophone|FW 
G:JJD_CCP P:NNC_CCP kalabang 2237 23 		Context - para_sa|RBB mga|DTCP *kalabang|NNC_CCP* pwersang|NNC_CCP nagnanais|VBTR 
G:JJD_CCP P:NNC_CCP kalabang 95 23 		Context - grupo|NNC ng|CCB *kalabang|NNC_CCP* eroplano|NNC na|CCP 
G:JJD_CCP P:NNC_CCP kapanahunang 1362 1 		Context - Isang|PRI_CCP *kapanahunang|NNC_CCP* istorya|NNC na|CCP 
G:JJD_CCP P:NNC_CCP katutubong 2924 13 		Context - mga|DTCP Dominikong|NNP_CCP *katutubong|NNC_CCP* kanta|NNC .|PMP 
G:JJD_CCP P:NNC_CCP klasikong 2106 7 		Context - kilala|JJD sa|CCT *klasikong|NNC_CCP* Mediteraneong|JJD_CCP sibilisasyon|NNC 
G:JJD_CCP P:NNC_CCP konsentradong 1734 6 		Context - ,|PMC ang|DTC *konsentradong|NNC_CCP* kontrol|NNC sa_ibabaw|RBL 
G:JJD_CCP P:NNC_CCP kremang 1965 16 		Context - hilaw|JJD na|CCP *kremang|NNC_CCP* mantikilya|NNC .|PMP 
G:JJD_CCP P:NNC_CCP kremang 2527 7 		Context - matamis|JJD na|CCP *kremang|NNC_CCP* mantikilya|NNC ay|LM 
G:JJD_CCP P:NNC_CCP kremang 2552 3 		Context - hilaw|JJD na|CCP *kremang|NNC_CCP* mantikilya|NNC ay|LM 
G:JJD_CCP P:NNC_CCP kremang 2838 5 		Context - matamis|JJD na|CCP *kremang|NNC_CCP* mantikilya|NNC ay|LM 
G:JJD_CCP P:NNC_CCP lalaking 136 25 		Context - sa|CCT mga|DTCP *lalaking|NNC_CCP* kamag-anak|NNC niya|PRS 
G:JJD_CCP P:NNC_CCP lalaking 2820 12 		Context - inflorescence|FW sa|CCT *lalaking|NNC_CCP* bulaklak|NNC .|PMP 
G:JJD_CCP P:NNC_CCP lalaking 86 26 		Context - mern|FW (|PMS *lalaking|NNC_CCP* pseudohermaphrodite|FW )|PMS 
G:JJD_CCP P:NNC_CCP lehislaturang 946 16 		Context - sa_komunidad|RBL para_sa|RBB *lehislaturang|NNC_CCP* sangay|NNC .|PMP 
G:JJD_CCP P:NNC_CCP limitahang 2637 6 		Context - ito|PRO ng|CCB *limitahang|NNC_CCP* saklaw|NNC ng|CCB 
G:JJD_CCP P:NNC_CCP mabungang 1978 27 		Context - ;|PMSC parehong|JJC_CCP *mabungang|NNC_CCP* Islamic|NNP scholars|FW 
G:JJD_CCP P:NNC_CCP makatang 2394 4 		Context - ,|PMC ang|DTC *makatang|NNC_CCP* si|DTP Hugh|NNP 
G:JJD_CCP P:NNC_CCP manupakturang 1759 6 		Context - paglitaw|NNC ng|CCB *manupakturang|NNC_CCP* sektor|NNC ng|CCB 
G:JJD_CCP P:NNC_CCP milenyong 2019 4 		Context - pagpapatuloy|NNC ng|CCB *milenyong|NNC_CCP* haba|NNC ng|CCB 
G:JJD_CCP P:NNC_CCP minoryang 2533 12 		Context - kumuha|VBAF ng|CCB *minoryang|NNC_CCP* posisiyong|NNC_CCP administratibo|NNC 
G:JJD_CCP P:NNC_CCP miyoryang 1648 10 		Context - Hungaria|NNP ng|CCB *miyoryang|NNC_CCP* planeta|NNC .|PMP 
G:JJD_CCP P:NNC_CCP modermong 665 5 		Context - ito|PRO sa|CCT *modermong|NNC_CCP* Albanya|NNP ,|PMC 
G:JJD_CCP P:NNC_CCP modernismong 2125 28 		Context - ika-20|JJN siglong|NNC_CCP *modernismong|NNC_CCP* panulaan|NNC sa|CCT 
G:JJD_CCP P:NNC_CCP oksihinasyong 548 24 		Context - nagbubunga|VBTR ng|CCB *oksihinasyong|NNC_CCP* pagod|JJD .|PMP 
G:JJD_CCP P:NNC_CCP pabayang 506 18 		Context - na|CCP mayroong|VBH_CCP *pabayang|NNC_CCP* patakaran|NNC ang|DTC 
G:JJD_CCP P:NNC_CCP paboritong 640 21 		Context - sundin|VBOF ang|DTC *paboritong|NNC_CCP* pampalipas|JJD oras|NNC 
G:JJD_CCP P:NNC_CCP pagkawang-gawang 1519 27 		Context - Mississipi|NNP sa|CCT *pagkawang-gawang|NNC_CCP* pinansyal|JJD .|PMP 
G:JJD_CCP P:NNC_CCP palatandaang 2691 1 		Context - Ang|DTC *palatandaang|NNC_CCP* kulay|NNC ,|PMC 
G:JJD_CCP P:NNC_CCP palitang 520 3 		Context - rin|RBI ang|DTC *palitang|NNC_CCP* operasyon|NNC ng|CCB 
G:JJD_CCP P:NNC_CCP pamahayang 163 17 		Context - dalawang|JJN_CCP pinakamalaking|JJCS_JJD_CCP *pamahayang|NNC_CCP* unibersidad|NNC sa_bansa|RBL 
G:JJD_CCP P:NNC_CCP pananggang 660 22 		Context - nakadikit|VBTS sa|CCT *pananggang|NNC_CCP* hangin|NNC ng_mga|DTCP 
G:JJD_CCP P:NNC_CCP panauhing 994 5 		Context - tagapangasiwa|NNC ang_mga|DTCP *panauhing|NNC_CCP* may|VBH kakayahang|NNC_CCP 
G:JJD_CCP P:NNC_CCP pigurang 2338 10 		Context - teksto|NNC at|CCA *pigurang|NNC_CCP* balangkas|NNC ,|PMC 
G:JJD_CCP P:NNC_CCP pirasong 1374 11 		Context - sa|CCT isang|PRI_CCP *pirasong|NNC_CCP* papel|NNC ,|PMC 
G:JJD_CCP P:NNC_CCP pisang 195 14 		Context - mga|DTCP bagong|JJD_CCP *pisang|NNC_CCP* pagong|NNC .|PMP 
G:JJD_CCP P:NNC_CCP ponetikang 2936 14 		Context - karaniwang|JJD_CCP ilang|PRQ_CCP *ponetikang|NNC_CCP* ugnayan|NNC sa_pagitan_ng|CCU 
G:JJD_CCP P:NNC_CCP prinsipyong 1635 15 		Context - na|CCP ang_mga|DTCP *prinsipyong|NNC_CCP* asal|NNC ay|LM 
G:JJD_CCP P:NNC_CCP propagandang 1673 7 		Context - pagtsismisan|NNC at|CCA *propagandang|NNC_CCP* libro|NNC .|PMP 
G:JJD_CCP P:NNC_CCP rebolusyong 2216 6 		Context - isang|PRI_CCP pagtangkang|NNC_CCP *rebolusyong|NNC_CCP* militar|JJD noong|RBW_CCP 
G:JJD_CCP P:NNC_CCP rektanggulong 1958 47 		Context - hiwalay|JJD na|CCP *rektanggulong|NNC_CCP* nakalakip|VBTS pa|RBI 
G:JJD_CCP P:NNC_CCP relehiyosong 2600 30 		Context - Deklarasyon|NNP ng|CCB *relehiyosong|NNC_CCP* prinsipyo|NNC at|CCA 
G:JJD_CCP P:NNC_CCP repormang 134 10 		Context - nanatili|VBTS ang|DTC *repormang|NNC_CCP* bersyon|NNC ng|CCB 
G:JJD_CCP P:NNC_CCP residenteng 2048 24 		Context - sa|CCT mga|DTCP *residenteng|NNC_CCP* mamayan|NNC .|PMP 
G:JJD_CCP P:NNC_CCP sariling 1381 11 		Context - kasalanan|NNC sa|CCT *sariling|NNC_CCP* katawan|NNC ang_mga|DTCP 
G:JJD_CCP P:NNC_CCP sariling 2246 8 		Context - ay|LM may|VBH *sariling|NNC_CCP* sandatahan|NNC ,|PMC 
G:JJD_CCP P:NNC_CCP sariling 2278 25 		Context - sa|CCT kanyang|PRSP_CCP *sariling|NNC_CCP* tuntunin|NNC at|CCA 
G:JJD_CCP P:NNC_CCP sariling 274 24 		Context - gamitin|VBOF ang|DTC *sariling|NNC_CCP* kaalaman|NNC .|PMP 
G:JJD_CCP P:NNC_CCP sekundaryang 1048 8 		Context - primarya|NNC at|CCA *sekundaryang|NNC_CCP* edukasyon|NNC sa|CCT 
G:JJD_CCP P:NNC_CCP sentrong 998 22 		Context - inokupahan|VBOF ng|CCB *sentrong|NNC_CCP* dambana|NNC ng|CCB 
G:JJD_CCP P:NNC_CCP sosyalismong 93 32 		Context - teorya|NNC ukol_sa|RBR *sosyalismong|NNC_CCP* Melanesian|NNP ,|PMC 
G:JJD_CCP P:NNC_CCP talahayang 1707 4 		Context - Iceland|NNP ang_mga|DTCP *talahayang|NNC_CCP* laro|NNC ,|PMC 
G:JJD_CCP P:NNC_CCP tradisyong 2480 4 		Context - anyo|NNC ng|CCB *tradisyong|NNC_CCP* kanta|NNC ng|CCB 
G:JJD_CCP P:NNC_CCP tryanggulong 2218 16 		Context - magkakasukat|VBTF_VBAF na|CCP *tryanggulong|NNC_CCP* nakaturo|VBTS sa|CCT 
G:JJD_CCP P:NNC_CCP tryanggulong 2218 8 		Context - kasama|CCB ng|CCB *tryanggulong|NNC_CCP* tutuldok|JJD ,|PMC 
G:JJD_CCP P:NNC_CCP urbanong 1063 11 		Context - dedikado|JJD sa|CCT *urbanong|NNC_CCP* disenyo|NNC ,|PMC 
G:JJD_CCP P:NNC_CCP urbanong 1154 8 		Context - ang|DTC unang|JJN_CCP *urbanong|NNC_CCP* liwasan|NNC ng|CCB 
G:JJD_CCP P:NNP_CCP Bagong 750 6 		Context - Josephus|NNP ,|PMC *Bagong|NNP_CCP* tipan|NNC at|CCA 
G:JJD_CCP P:NNP_CCP Kanluraning 487 11 		Context - Kaliwanagan|NNP sa|CCT *Kanluraning|NNP_CCP* pilosopiya|NNC .|PMP 
G:JJD_CCP P:NNP_CCP Katutubong 1464 0 		Context - *Katutubong|NNP_CCP* kaharian|NNC ang|DTC 
G:JJD_CCP P:NNP_CCP Lumang 98 0 		Context - *Lumang|NNP_CCP* pangalan|NNC ng|CCB 
G:JJD_CCP P:PRI_CCP Iba't_ibang 235 0 		Context - *Iba't_ibang|PRI_CCP* pagkilala|NNC kay|DTP 
G:JJD_CCP P:PRI_CCP Iba't_ibang 2764 0 		Context - *Iba't_ibang|PRI_CCP* modelo|NNC ng|CCB 
G:JJD_CCP P:PRI_CCP Kaunting 1243 0 		Context - *Kaunting|PRI_CCP* tao|NNC lang|RBI 
G:JJD_CCP P:PRI_CCP Maraming 1068 0 		Context - *Maraming|PRI_CCP* species|FW ng|CCB 
G:JJD_CCP P:PRI_CCP Maraming 254 0 		Context - *Maraming|PRI_CCP* mga|DTCP modelo|NNC 
G:JJD_CCP P:PRI_CCP Maraming 661 0 		Context - *Maraming|PRI_CCP* fossil|FW leaves|FW 
G:JJD_CCP P:PRI_CCP Maraming 934 0 		Context - *Maraming|PRI_CCP* pang|RBI_CCP beteranong|JJD_CCP 
G:JJD_CCP P:PRI_CCP Maraming 981 0 		Context - *Maraming|PRI_CCP* malalaki|JJD at|CCA 
G:JJD_CCP P:PRI_CCP buong 289 2 		Context - Kung|CCR ang|DTC *buong|PRI_CCP* proseso|NNC hanggang|RBW 
G:JJD_CCP P:PRI_CCP buong 643 4 		Context - paumanhin|NNC at|CCA *buong|PRI_CCP* pagbawi|NNC sa|CCT 
G:JJD_CCP P:PRI_CCP buong 659 7 		Context - bahagyang|RBD_CCP o|CCT *buong|PRI_CCP* eclipse|FW ay|LM 
G:JJD_CCP P:PRI_CCP buong 77 55 		Context - ang|DTC iyong|PRSP_CCP *buong|PRI_CCP* dekada|NNC .|PMP 
G:JJD_CCP P:PRI_CCP buong 844 11 		Context - demilitarized|FW ang|DTC *buong|PRI_CCP* isla|NNC ng|CCB 
G:JJD_CCP P:PRI_CCP ibang 1421 2 		Context - Marami|PRI pang|RBI_CCP *ibang|PRI_CCP* beaches|FW ang|DTC 
G:JJD_CCP P:PRI_CCP ibang 468 1 		Context - Tulad_ng|JJC *ibang|PRI_CCP* Ankylosaurus|NNP ,|PMC 
G:JJD_CCP P:PRI_CCP ibang 549 27 		Context - nabibigyan|VBTR ng|CCB *ibang|PRI_CCP* pangalan|NNC dahil|CCR 
G:JJD_CCP P:PRI_CCP ibang 832 9 		Context - at|CCA ang|DTC *ibang|PRI_CCP* mga|DTCP dinosaur|FW 
G:JJD_CCP P:PRI_CCP ibang 861 13 		Context - hindi|RBF katulad_ng|JJC *ibang|PRI_CCP* mga|DTCP modernong|JJD_CCP 
G:JJD_CCP P:PRI_CCP kalahating 1127 3 		Context - na|RBI ang|DTC *kalahating|PRI_CCP* ining|NNC at|CCA 
G:JJD_CCP P:PRI_CCP kalahating 76 15 		Context - tao|NNC nakatira|VBTS *kalahating|PRI_CCP* taon|NNC lampas|JJD 
G:JJD_CCP P:PRI_CCP kalahating 76 24 		Context - ,|PMC kaya|CCR *kalahating|PRI_CCP* taon|NNC ang|DTC 
G:JJD_CCP P:PRI_CCP kaunting 1490 5 		Context - ng|CCB medyo|JJCC *kaunting|PRI_CCP* bilang|NNC ng|CCB 
G:JJD_CCP P:PRI_CCP kaunting 272 4 		Context - nagkaroon|VBTS ng|CCB *kaunting|PRI_CCP* tagumpay|NNC ang|DTC 
G:JJD_CCP P:PRI_CCP kaunting 321 24 		Context - sila|PRP ng|CCB *kaunting|PRI_CCP* craniofacial|FW na|CCP 
G:JJD_CCP P:PRI_CCP kaunting 969 20 		Context - ,|PMC ang|DTC *kaunting|PRI_CCP* mga|DTCP non-Sunni_Muslims|FW 
G:JJD_CCP P:PRI_CCP maramihang 2780 33 		Context - populasyon|NNC ng|CCB *maramihang|PRI_CCP* bituin|NNC .|PMP 
G:JJD_CCP P:PRI_CCP maraming 1022 1 		Context - May|VBH *maraming|PRI_CCP* kasangkapan|NNC ,|PMC 
G:JJD_CCP P:PRI_CCP maraming 376 3 		Context - nang|CCB mas|JJCC *maraming|PRI_CCP* pagkain|NNC kaysa_sa|JJC 
G:JJD_CCP P:PRI_CCP maraming 43 13 		Context - hanay|NNC ,|PMC *maraming|PRI_CCP* tao|NNC ang|DTC 
G:JJD_CCP P:PRI_CCP maraming 546 17 		Context - sa_gitna|RBL ng|CCB *maraming|PRI_CCP* kontrobersya|NNC tungkol_sa|RBR 
G:JJD_CCP P:PRI_CCP maraming 55 2 		Context - Naglalaman|VBTR ng|CCB *maraming|PRI_CCP* sipi|NNC at|CCA 
G:JJD_CCP P:PRI_CCP maraming 661 13 		Context - nito|PRO na|CCP *maraming|PRI_CCP* naka-paligid|JJD na|CCP 
G:JJD_CCP P:PRI_CCP maraming 684 18 		Context - ito|PRO ng|CCB *maraming|PRI_CCP* mga|DTCP kasunduan|NNC 
G:JJD_CCP P:PRI_CCP maraming 837 22 		Context - makikita|VBTF ang|DTC *maraming|PRI_CCP* bilang|NNC ng|CCB 
G:JJD_CCP P:PRI_CCP maraming 845 1 		Context - Sa|CCT *maraming|PRI_CCP* pagkakataon|NNC ,|PMC 
G:JJD_CCP P:PRI_CCP maraming 882 3 		Context - ito|PRO sa|CCT *maraming|PRI_CCP* negosyo|NNC at|CCA 
